idTransactional,dataTransactional,value,statusGateway
TRX-010283,2026-08-22,751.81,APPROVED
TRX-007696,2026-08-27,1392.25,APPROVED
TRX-044922,2026-09-01,736.53,DECLINED
TRX-003721,2026-09-01,403.67,APPROVED
TRX-034348,2026-09-03,42.73,APPROVED
TRX-021656,2026-09-04,925.80,APPROVED
TRX-021792,2026-08-15,1174.23,APPROVED
TRX-010920,2026-08-16,864.43,APPROVED
TRX-023490,2026-08-19,630.65,APPROVED
TRX-000399,2026-08-10,835.74,APPROVED
TRX-004674,2026-09-06,393.76,APPROVED
TRX-033019,2026-09-04,1674.21,APPROVED
TRX-021527,2026-08-21,1673.99,APPROVED
TRX-005128,2026-08-22,1696.71,APPROVED
TRX-028262,2026-08-11,1617.24,APPROVED
TRX-011037,2026-08-12,1327.19,APPROVED
TRX-026060,2026-08-17,1237.97,APPROVED
TRX-020160,2026-09-05,1443.66,APPROVED
TRX-034122,2026-08-26,1706.96,APPROVED
TRX-041449,2026-08-28,1505.38,APPROVED
TRX-018904,2026-08-29,306.13,APPROVED
TRX-031813,2026-08-22,531.64,APPROVED
TRX-025530,2026-08-27,184.39,APPROVED
TRX-043992,2026-08-09,1148.89,REFUNDED
TRX-023594,2026-08-29,332.25,APPROVED
TRX-019687,2026-08-11,1701.95,APPROVED
TRX-020042,2026-08-23,1021.80,APPROVED
TRX-025508,2026-08-10,79.54,APPROVED
TRX-021559,2026-08-09,1983.30,APPROVED
TRX-001312,2026-08-23,234.36,APPROVED
TRX-033882,2026-09-03,848.78,APPROVED
TRX-042779,2026-08-16,1129.40,APPROVED
TRX-005118,2026-08-14,1026.48,APPROVED
TRX-000923,2026-08-12,1877.74,APPROVED
TRX-003493,2026-08-13,1966.07,APPROVED
TRX-042184,2026-08-11,358.33,APPROVED
TRX-037036,2026-08-17,1358.81,APPROVED
TRX-018060,2026-08-12,1136.30,APPROVED
TRX-025847,2026-08-09,1635.21,APPROVED
TRX-005286,2026-09-01,555.36,APPROVED
TRX-044553,2026-08-25,132.76,DECLINED
TRX-001662,2026-08-26,1270.64,APPROVED
TRX-012460,2026-08-09,301.90,APPROVED
TRX-034395,2026-08-13,392.60,APPROVED
TRX-009851,2026-08-17,222.81,APPROVED
TRX-035874,2026-08-08,101.55,APPROVED
TRX-014213,2026-08-25,1212.05,APPROVED
TRX-018471,2026-09-06,1375.67,APPROVED
TRX-023881,2026-08-27,1702.99,APPROVED
TRX-034233,2026-09-02,386.53,APPROVED
TRX-039042,2026-08-22,978.26,APPROVED
TRX-007223,2026-08-25,1837.22,APPROVED
TRX-026893,2026-09-07,1805.14,APPROVED
TRX-042140,2026-08-14,1392.89,APPROVED
TRX-020689,2026-09-02,1610.97,APPROVED
TRX-003484,2026-08-14,65.50,APPROVED
TRX-020969,2026-09-05,10.83,APPROVED
