transactionId,transactionDate,amount,gatewayStatus
TRX-007963,2026-09-11,668.79,APPROVED
TRX-022120,2026-08-22,959.60,APPROVED
TRX-010023,2026-09-17,1838.59,APPROVED
TRX-001452,2026-09-12,703.16,APPROVED
TRX-035744,2026-09-10,1323.52,APPROVED
TRX-038567,2026-09-04,126.11,APPROVED
TRX-044436,2026-09-01,1355.88,DECLINED
TRX-016048,2026-09-05,231.84,APPROVED
TRX-025560,2026-08-23,304.80,APPROVED
TRX-026526,2026-08-28,1415.58,APPROVED
TRX-032736,2026-08-22,1164.88,APPROVED
TRX-038145,2026-09-17,1012.85,APPROVED
TRX-018891,2026-08-24,1171.03,APPROVED
TRX-026904,2026-08-29,206.32,APPROVED
TRX-004879,2026-08-25,1943.07,APPROVED
TRX-007187,2026-08-30,950.71,APPROVED
TRX-009448,2026-08-24,1603.84,APPROVED
TRX-030648,2026-08-24,1779.84,APPROVED
TRX-031816,2026-08-31,391.28,APPROVED
TRX-045863,2026-08-28,1865.79,CANCELLED
TRX-010417,2026-08-30,746.61,APPROVED
TRX-004619,2026-08-22,37.27,APPROVED
TRX-011270,2026-08-20,1029.10,APPROVED
TRX-040140,2026-09-15,1711.20,APPROVED
TRX-037918,2026-09-10,1338.94,APPROVED
TRX-014437,2026-08-29,363.21,APPROVED
TRX-022783,2026-09-13,1839.39,APPROVED
TRX-012420,2026-09-05,1498.60,APPROVED
TRX-007568,2026-08-27,1753.44,APPROVED
TRX-034485,2026-09-14,55.05,APPROVED
TRX-019299,2026-09-02,181.67,APPROVED
TRX-039043,2026-09-06,1625.19,APPROVED
TRX-012509,2026-08-27,160.97,APPROVED
TRX-013928,2026-09-03,612.24,APPROVED
TRX-008920,2026-09-09,1713.60,APPROVED
TRX-021234,2026-08-27,435.22,APPROVED
TRX-041200,2026-09-07,1521.00,APPROVED
TRX-028614,2026-09-02,800.62,APPROVED
TRX-028044,2026-09-17,602.52,APPROVED
TRX-015323,2026-08-28,887.59,APPROVED
TRX-034896,2026-09-09,1077.68,APPROVED
TRX-016448,2026-09-03,1173.84,APPROVED
TRX-007603,2026-08-22,19.99,APPROVED
TRX-017782,2026-08-29,1002.06,APPROVED
TRX-032814,2026-09-18,1736.62,APPROVED
TRX-024736,2026-08-21,234.88,APPROVED
TRX-001554,2026-09-12,1450.82,APPROVED
TRX-025945,2026-09-10,1136.85,APPROVED
TRX-016603,2026-08-25,319.99,APPROVED
TRX-016163,2026-08-22,1074.79,APPROVED
TRX-031712,2026-09-12,1618.96,APPROVED
TRX-029214,2026-08-28,1218.62,APPROVED
TRX-012897,2026-09-04,1015.01,APPROVED
TRX-018750,2026-09-04,137.50,APPROVED
TRX-004068,2026-08-28,1968.44,APPROVED
TRX-043042,2026-08-25,1087.86,CHARGEBACK
TRX-001409,2026-09-18,387.97,APPROVED
TRX-024178,2026-08-25,124.74,APPROVED
TRX-005115,2026-08-23,1682.95,APPROVED
TRX-017763,2026-09-04,862.79,APPROVED
TRX-039922,2026-09-15,108.26,APPROVED
TRX-034179,2026-08-28,1792.07,APPROVED
TRX-042268,2026-09-14,1389.44,APPROVED
TRX-035953,2026-08-25,865.49,APPROVED
TRX-034212,2026-08-31,43.96,APPROVED
TRX-034803,2026-09-03,395.99,APPROVED
TRX-000091,2026-09-15,677.03,APPROVED
TRX-028968,2026-08-30,1405.44,APPROVED
TRX-032779,2026-09-04,1480.07,APPROVED
TRX-027729,2026-09-07,283.57,APPROVED
TRX-022306,2026-09-04,332.98,APPROVED
TRX-022135,2026-08-21,1069.55,APPROVED
TRX-033537,2026-09-08,1066.21,APPROVED
TRX-031562,2026-09-11,519.46,APPROVED
TRX-032438,2026-09-17,970.54,APPROVED
TRX-017110,2026-09-17,56.30,APPROVED
TRX-013768,2026-09-18,1429.44,APPROVED
TRX-010299,2026-08-22,1871.67,APPROVED
TRX-003822,2026-08-20,165.26,APPROVED
TRX-007075,2026-09-09,129.75,APPROVED
TRX-007845,2026-08-24,1793.85,APPROVED
TRX-030300,2026-08-30,1219.00,APPROVED
TRX-040721,2026-08-25,1979.93,APPROVED
TRX-045299,2026-08-20,1711.67,CANCELLED
TRX-040571,2026-09-01,880.43,APPROVED
TRX-009505,2026-09-05,31.65,APPROVED
TRX-026870,2026-09-02,1947.10,APPROVED
TRX-008775,2026-09-14,650.75,APPROVED
TRX-003132,2026-09-14,1077.56,APPROVED
TRX-009576,2026-09-01,552.08,APPROVED
TRX-017795,2026-09-13,1097.35,APPROVED
TRX-000627,2026-09-13,625.91,APPROVED
TRX-003035,2026-09-01,366.55,APPROVED
TRX-031853,2026-09-01,662.49,APPROVED
TRX-009951,2026-09-01,1310.83,APPROVED
TRX-012052,2026-08-30,791.16,APPROVED
TRX-041922,2026-08-20,843.26,APPROVED
TRX-031056,2026-09-11,790.48,APPROVED
TRX-024151,2026-09-10,1916.83,APPROVED
TRX-010614,2026-09-08,200.62,APPROVED
TRX-004901,2026-09-11,114.33,APPROVED
TRX-025747,2026-08-27,1675.51,APPROVED
TRX-006606,2026-09-13,671.98,APPROVED
TRX-035560,2026-09-18,1964.80,APPROVED
TRX-001892,2026-09-14,1938.36,APPROVED
TRX-016641,2026-09-09,598.53,APPROVED
TRX-040833,2026-08-31,810.89,APPROVED
TRX-008093,2026-09-15,1621.69,APPROVED
TRX-005091,2026-09-03,1507.03,APPROVED
TRX-030660,2026-08-25,1867.80,APPROVED
TRX-011418,2026-09-03,123.94,APPROVED
TRX-030190,2026-09-15,412.70,APPROVED
TRX-024276,2026-08-24,843.08,APPROVED
TRX-027669,2026-08-25,1833.77,APPROVED
TRX-015794,2026-09-05,360.02,APPROVED
TRX-022697,2026-08-31,1209.01,APPROVED
TRX-009694,2026-09-03,1417.02,APPROVED
TRX-035957,2026-09-02,894.81,APPROVED
TRX-009574,2026-09-10,537.42,APPROVED
TRX-033294,2026-09-13,1275.02,APPROVED
TRX-010165,2026-09-15,889.45,APPROVED
TRX-021552,2026-08-30,776.16,APPROVED
TRX-026922,2026-09-17,338.26,APPROVED
TRX-005877,2026-09-14,1298.41,APPROVED
TRX-045186,2026-09-16,883.38,CANCELLED
TRX-039661,2026-08-30,185.13,APPROVED
TRX-040788,2026-09-01,491.04,APPROVED
TRX-032610,2026-08-26,241.30,APPROVED
TRX-019101,2026-09-05,720.33,APPROVED
TRX-030440,2026-08-30,255.20,APPROVED
TRX-040619,2026-09-12,1232.27,APPROVED
TRX-021446,2026-08-23,1989.18,APPROVED
TRX-000866,2026-08-25,387.78,APPROVED
TRX-028439,2026-08-21,1507.87,APPROVED
TRX-025124,2026-09-04,1088.92,APPROVED
TRX-010012,2026-08-21,1757.96,APPROVED
TRX-003980,2026-09-13,1323.40,APPROVED
TRX-017701,2026-09-07,408.33,APPROVED
TRX-011377,2026-08-26,1813.41,APPROVED
